,Indicator,Group,State,Subgroup,Week,Week Label,Value,Low CI,High CI,Confidence Interval,Quartile range,State Abbreviation
0,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8,AL
1,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8,AK
2,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,32.3,28.0,36.8,28.0 - 36.8,31.7 - 37.0,AZ
3,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0,AR
4,Symptoms of Anxiety Disorder,By State,California,California,1,Apr 23 - May 5,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6,CA
5,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0,CO
6,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,34.9,30.0,40.0,30.0 - 40.0,31.7 - 37.0,CT
7,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3,DE
8,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6,DC
9,Symptoms of Anxiety Disorder,By State,Florida,Florida,1,Apr 23 - May 5,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0,FL
10,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0,GA
11,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,32.3,27.1,37.8,27.1 - 37.8,31.7 - 37.0,HI
12,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,26.9,23.7,30.2,23.7 - 30.2,21.7 - 27.8,ID
13,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,31.1,27.0,35.4,27.0 - 35.4,30.4 - 31.6,IL
14,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,31.8,27.5,36.4,27.5 - 36.4,31.7 - 37.0,IN
15,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,22.5,19.0,26.2,19.0 - 26.2,21.7 - 27.8,IA
16,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,26.4,22.0,31.2,22.0 - 31.2,21.7 - 27.8,KS
17,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6,KY
18,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,34.4,29.7,39.3,29.7 - 39.3,31.7 - 37.0,LA
19,Symptoms of Anxiety Disorder,By State,Maine,Maine,1,Apr 23 - May 5,29.5,25.9,33.3,25.9 - 33.3,27.9 - 30.3,ME
20,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,27.7,24.6,31.1,24.6 - 31.1,21.7 - 27.8,MD
21,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,37.0,33.3,40.7,33.3 - 40.7,31.7 - 37.0,MA
22,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,32.5,28.6,36.7,28.6 - 36.7,31.7 - 37.0,MI
23,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,28.5,25.2,32.0,25.2 - 32.0,27.9 - 30.3,MN
24,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,30.3,24.7,36.3,24.7 - 36.3,27.9 - 30.3,MS
25,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,30.4,25.8,35.4,25.8 - 35.4,30.4 - 31.6,MO
26,Symptoms of Anxiety Disorder,By State,Montana,Montana,1,Apr 23 - May 5,22.8,19.6,26.3,19.6 - 26.3,21.7 - 27.8,MT
27,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,24.2,20.6,28.0,20.6 - 28.0,21.7 - 27.8,NE
28,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6,NV
29,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6,NH
30,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6,NJ
31,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,27.9,23.9,32.2,23.9 - 32.2,27.9 - 30.3,NM
32,Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,NY
33,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,30.0,25.1,35.3,25.1 - 35.3,27.9 - 30.3,NC
34,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,21.7,18.3,25.5,18.3 - 25.5,21.7 - 27.8,ND
