,Indicator,Group,State,Subgroup,Week,Week Label,Value,Low CI,High CI,Confidence Interval,Quartile range,State Abbreviation
0,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,3,May 14 - May 19,20.7,16.7,25.1,16.7 - 25.1,19.0-25.2,AL
1,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,3,May 14 - May 19,26.2,22.0,30.7,22.0 - 30.7,25.3-27.4,AK
2,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,3,May 14 - May 19,29.0,25.1,33.2,25.1 - 33.2,28.9-36.1,AZ
3,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,3,May 14 - May 19,28.7,24.7,32.9,24.7 - 32.9,27.5-28.8,AR
4,Symptoms of Anxiety Disorder,By State,California,California,3,May 14 - May 19,32.3,29.0,35.7,29.0 - 35.7,28.9-36.1,CA
5,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,3,May 14 - May 19,27.6,24.2,31.3,24.2 - 31.3,27.5-28.8,CO
6,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,3,May 14 - May 19,28.7,24.2,33.5,24.2 - 33.5,27.5-28.8,CT
7,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,3,May 14 - May 19,26.6,22.0,31.6,22.0 - 31.6,25.3-27.4,DE
8,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,3,May 14 - May 19,33.3,26.0,41.3,26.0 - 41.3,28.9-36.1,DC
9,Symptoms of Anxiety Disorder,By State,Florida,Florida,3,May 14 - May 19,28.2,25.1,31.4,25.1 - 31.4,27.5-28.8,FL
10,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,3,May 14 - May 19,27.6,23.7,31.7,23.7 - 31.7,27.5-28.8,GA
11,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,3,May 14 - May 19,24.1,19.0,29.8,19.0 - 29.8,19.0-25.2,HI
12,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,3,May 14 - May 19,24.0,19.4,29.2,19.4 - 29.2,19.0-25.2,ID
13,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,3,May 14 - May 19,28.5,24.7,32.6,24.7 - 32.6,27.5-28.8,IL
14,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,3,May 14 - May 19,32.6,27.5,38.0,27.5 - 38.0,28.9-36.1,IN
15,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,3,May 14 - May 19,19.0,14.7,24.0,14.7 - 24.0,19.0-25.2,IA
16,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,3,May 14 - May 19,26.7,22.8,30.9,22.8 - 30.9,25.3-27.4,KS
17,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,3,May 14 - May 19,27.7,23.5,32.2,23.5 - 32.2,27.5-28.8,KY
18,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,3,May 14 - May 19,27.9,22.8,33.5,22.8 - 33.5,27.5-28.8,LA
