Indicator,Group,State,Subgroup,State Abbreviation,Week,Week-Label,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,By State,Alabama,Alabama,AL,2,May 7 - May 12,22.5,16.4,29.5,16.4 - 29.5,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Alaska,Alaska,AK,2,May 7 - May 12,25.1,20.3,30.4,20.3 - 30.4,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Arizona,Arizona,AZ,2,May 7 - May 12,25.3,19.7,31.7,19.7 - 31.7,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,AR,2,May 7 - May 12,24.5,19.2,30.5,19.2 - 30.5,23.1 - 25.6
Symptoms of Depressive Disorder,By State,California,California,CA,2,May 7 - May 12,22.8,19.2,26.8,19.2 - 26.8,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Colorado,Colorado,CO,2,May 7 - May 12,23.6,17.8,30.2,17.8 - 30.2,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,CT,2,May 7 - May 12,21.5,16.2,27.6,16.2 - 27.6,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Delaware,Delaware,DE,2,May 7 - May 12,23.3,18.3,28.9,18.3 - 28.9,23.1 - 25.6
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,DC,2,May 7 - May 12,30.3,22.8,38.6,22.8 - 38.6,25.7 - 35.5
Symptoms of Depressive Disorder,By State,Florida,Florida,FL,2,May 7 - May 12,24.8,20,30,20.0 - 30.0,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Georgia,Georgia,GA,2,May 7 - May 12,25.6,20.7,30.9,20.7 - 30.9,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,HI,2,May 7 - May 12,16.8,12.1,22.4,12.1 - 22.4,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Idaho,Idaho,ID,2,May 7 - May 12,17,13.2,21.5,13.2 - 21.5,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Illinois,Illinois,IL,2,May 7 - May 12,29.2,25.2,33.5,25.2 - 33.5,25.7 - 35.5
Symptoms of Depressive Disorder,By State,Indiana,Indiana,IN,2,May 7 - May 12,19.9,14.8,25.8,14.8 - 25.8,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Iowa,Iowa,IA,2,May 7 - May 12,18.1,12.9,24.2,12.9 - 24.2,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Kansas,Kansas,KS,2,May 7 - May 12,16.7,12.8,21.2,12.8 - 21.2,16.7 - 20.6
